firstSim,secondSim,id1,id2
0.9574468,0.46785715,C09CA,C09CA
0.32142857,0.48423004,C09CA,C09CA
0.9574468,0.32007232,C09CA,C09CA
0.59210527,0.3226837,C09CA,C09CA
0.04964539,0.14376996,L01XX,L01XX
0.08383234,0.28132993,L01XX,Multiple
0.035714287,0.13375796,L01XX,Multiple
0.13978495,0.1797005,L01XX,L01XX
0.054347824,0.12040134,L01XX,L01XX
0.050724637,0.13375796,L01XX,Multiple
0.2,0.24743778,L01XX,L01XX
0.10843374,0.045454547,L01XX,L01XX
0.2,0.24840765,L01XX,L01XX
0.06920415,0.016393442,L01XX,L01XX
0.06993007,0.22566372,L01XX,L01XX
0.13,0.16013072,L01XX,L01XX
0.071428575,0.02283105,Multiple,Multiple
0.6666667,0.69205296,Multiple,R03DA
0.5483871,0.9905213,Multiple,R03DA
0.58064514,0.96313363,Multiple,R03DA
0.5645161,0.9078341,Multiple,Multiple
0.9756098,0.39848486,B01AE,B01AE
0.9756098,0.35180056,B01AE,B01AE
0.96363634,1.0,H03AA,H03AA
0.96363634,1.0,H03AA,Multiple
0.4040404,0.164,C01BA,Multiple
0.6486486,0.27098322,C01BA,C01BA
0.6197183,0.18106996,C01BA,C01BA
0.6197183,0.23529412,C01BA,Multiple
0.20895523,0.53881276,Multiple,N01BB
0.20895523,0.6051282,Multiple,Multiple
0.28025478,0.15819208,Multiple,C01BB
0.36363637,0.19805194,Multiple,Multiple
0.20895523,0.17213115,Multiple,Multiple
0.15789473,0.16256158,Multiple,Multiple
0.25465837,0.14646465,Multiple,Multiple
0.3283582,0.84671533,Multiple,N01BB
0.20895523,0.13157895,Multiple,S01HA
0.20895523,0.14876033,Multiple,Multiple
0.31360948,0.1396648,Multiple,Multiple
0.12886597,0.12222222,Multiple,Multiple
0.20895523,0.62765956,Multiple,N01BB
0.20895523,0.53636366,Multiple,N01BB
0.2247191,0.221519,Multiple,Multiple
0.3283582,0.7419355,Multiple,C01BB
0.20895523,0.13095239,Multiple,Multiple
0.36363637,0.14624506,Multiple,C01BB
0.147929,0.23660715,Multiple,Multiple
0.60465115,0.33579335,Multiple,R06AA
0.9285714,0.40808824,Multiple,R06AA
0.9285714,0.15923567,Multiple,Multiple
0.9285714,0.2745592,Multiple,R06AA
0.18181819,0.1525974,Multiple,Multiple
0.9285714,0.40816328,Multiple,Multiple
